avg_hhi,avg_lambda,best_individual_idx,best_individual_linex,best_individual_mse,best_individual_objective,diag_aux,diag_main,horizon,linex,loss_section,mae,method,mse,n_obs,objective_value,seed
0.2257918915495809,nan,1.0,13.037501000965058,3.5865695831953914,3.5865695831953914,,,4.0,6.970051214301818,mse,1.1857514991945892,OGDVanilla,2.7762081017518874,1012.0,2.7762081017518874,5.0
0.25757259180390235,nan,1.0,13.037501000965058,3.5865695831953914,3.5865695831953914,,,4.0,11.693442834748636,mse,1.3476728978421528,MWUMVanilla,3.561763874836072,1012.0,3.561763874836072,5.0
0.15343569127551893,1.7814239091008075,1.0,13.037501000965058,3.5865695831953914,3.5865695831953914,,,4.0,6.805121129219132,mse,1.174934464832422,OGDBoth,2.728519951066469,1012.0,2.728519951066469,5.0
0.09212367959609317,1.8074320826808068,1.0,13.037501000965058,3.5865695831953914,3.5865695831953914,,,4.0,6.4483002129818425,mse,1.186568395073306,OGDConcOnly,2.711716163491285,1012.0,2.711716163491285,5.0
0.18923721594773013,0.745902327493211,1.0,13.037501000965058,3.5865695831953914,3.5865695831953914,,,4.0,6.8571560294375065,mse,1.141543924753723,MWUMBothKL,2.6200734028939494,1012.0,2.6200734028939494,5.0
0.29450621906068314,0.17320671671945945,1.0,13.037501000965058,3.5865695831953914,3.5865695831953914,,,4.0,6.9583611736989495,mse,1.1075234413234307,MWUMConcOnlyKL,2.5255503464528744,1012.0,2.5255503464528744,5.0
0.16451124511028803,nan,1.0,13.037501000965058,3.5865695831953914,3.5865695831953914,0.31126482213438733,1.0,4.0,11.362981880782424,mse,1.3042128270726452,RLRuleBandit,3.3937746210188102,1012.0,3.3937746210188102,5.0
0.3158666440586534,1.1907261765807542,1.0,13.037501000965058,3.5865695831953914,3.5865695831953914,0.6620553359683794,1.6311363636363636,4.0,6.755421938479239,mse,1.139146184809175,RLKappaBandit,2.6295822943072054,1012.0,2.6295822943072054,5.0
0.055555555555555566,nan,1.0,15.653703963382537,4.556618780108083,4.556618780108083,,,8.0,18.046278301903744,mse,1.724592538226382,Mean,5.258300976213668,1012.0,5.258300976213668,5.0
nan,nan,1.0,15.653703963382537,4.556618780108083,4.556618780108083,,,8.0,17.914322373070295,mse,1.666214891339687,Median,5.076723444399713,1012.0,5.076723444399713,5.0
0.200085453011944,nan,1.0,15.653703963382537,4.556618780108083,4.556618780108083,,,8.0,9.409244615759809,mse,1.3750929087822321,OGDVanilla,3.5497543788811687,1012.0,3.5497543788811687,5.0
0.9847277961000598,nan,1.0,15.653703963382537,4.556618780108083,4.556618780108083,,,8.0,13.241205524026299,mse,1.566081722622376,MWUMVanilla,4.654162846753604,1012.0,4.654162846753604,5.0
0.19680794730971865,0.10962179036135349,1.0,15.653703963382537,4.556618780108083,4.556618780108083,,,8.0,9.326497397530353,mse,1.3708655373578094,OGDBoth,3.533702559788387,1012.0,3.533702559788387,5.0
0.10345835104529279,1.9520990565604281,1.0,15.653703963382537,4.556618780108083,4.556618780108083,,,8.0,9.293274776174798,mse,1.3945140022231712,OGDConcOnly,3.6040362731558635,1012.0,3.6040362731558635,5.0
