avg_hhi,avg_lambda,best_individual_idx,best_individual_linex,best_individual_mse,best_individual_objective,diag_aux,diag_main,horizon,linex,loss_section,mae,method,mse,n_forecasters,n_obs,objective_value,series_id
0.9023148148148148,0.3420246100330076,18.0,2.2966479447602006e+243,107590.37987222223,107590.37987222223,,,0.0,7.359657255106015e+160,mse,147.86645833333336,MWUMConcOnlyKL,32130.431842447942,24.0,18.0,32130.431842447942,M962
0.5462962962962963,nan,18.0,2.2966479447602006e+243,107590.37987222223,107590.37987222223,0.3888888888888889,2.0,0.0,inf,mse,338.54120370370384,RLRuleBandit,223488.46076427482,24.0,18.0,223488.46076427482,M962
0.9023148148148148,1.4768544055768484,18.0,2.2966479447602006e+243,107590.37987222223,107590.37987222223,0.6666666666666666,2.604444444444445,0.0,7.359657255106015e+160,mse,147.86645833333336,RLKappaBandit,32130.431842447942,24.0,18.0,32130.431842447942,M962
0.04166666666666666,nan,21.0,8.666644478383346e+178,31480.27751666664,31480.27751666664,,,0.0,3.5801335904734764e+177,mse,132.26106481481415,Mean,37154.56719639255,24.0,18.0,37154.56719639255,M963
nan,nan,21.0,8.666644478383346e+178,31480.27751666664,31480.27751666664,,,0.0,1.2182793048253601e+202,mse,129.8783333333331,Median,32512.008963888726,24.0,18.0,32512.008963888726,M963
0.6967592592592592,nan,21.0,8.666644478383346e+178,31480.27751666664,31480.27751666664,,,0.0,1.649323035612132e+197,mse,351.8159259259259,OGDVanilla,230236.9177691359,24.0,18.0,230236.9177691359,M963
0.830423302923764,nan,21.0,8.666644478383346e+178,31480.27751666664,31480.27751666664,,,0.0,8.666644478383346e+178,mse,159.40679315280593,MWUMVanilla,59704.37395868081,24.0,18.0,59704.37395868081,M963
0.6967592592592592,0.35785573452302244,21.0,8.666644478383346e+178,31480.27751666664,31480.27751666664,,,0.0,1.649323035612132e+197,mse,351.8159259259259,OGDBoth,230236.9177691359,24.0,18.0,230236.9177691359,M963
0.6967592592592592,0.35785573452302244,21.0,8.666644478383346e+178,31480.27751666664,31480.27751666664,,,0.0,1.649323035612132e+197,mse,351.8159259259259,OGDConcOnly,230236.9177691359,24.0,18.0,230236.9177691359,M963
0.8356481481481481,0.35785573452302244,21.0,8.666644478383346e+178,31480.27751666664,31480.27751666664,,,0.0,8.666644478383346e+178,mse,161.34925925925927,MWUMBothKL,59828.12828024694,24.0,18.0,59828.12828024694,M963
0.8912037037037037,0.35785573452302244,21.0,8.666644478383346e+178,31480.27751666664,31480.27751666664,,,0.0,8.666644478383346e+178,mse,160.10203703703712,MWUMConcOnlyKL,59842.103530246946,24.0,18.0,59842.103530246946,M963
