seed,horizon,method,n_obs,mse,mae,linex_a1,avg_hhi,best_individual_mse,best_individual_idx
0.0,8.0,Median,1020.0,0.7259181717045575,0.6156985799374387,0.4349560390391352,nan,0.6203234035650731,1.0
0.0,8.0,OGDVanilla,1020.0,0.5762132018145851,0.5448533515506147,0.34384273893334244,0.16181640311891643,0.6203234035650731,1.0
0.0,8.0,MWUMVanilla,1020.0,0.624786783075615,0.5734060388577409,0.3944171438027892,0.5813190314384953,0.6203234035650731,1.0
0.0,8.0,OGDBoth,1020.0,0.5787617039708086,0.5466747593095993,0.3476993303961616,0.09809345992918841,0.6203234035650731,1.0
0.0,8.0,OGDConcOnly,1020.0,0.6453028628202931,0.5815171039425088,0.4627935192710729,0.20591203275021913,0.6203234035650731,1.0
0.0,8.0,MWUMBothKL,1020.0,0.6507541898670625,0.58655006368196,0.39136617689670383,0.06540973481780714,0.6203234035650731,1.0
0.0,8.0,MWUMConcOnlyKL,1020.0,0.579785318139663,0.5551625566931045,0.34933733600669153,0.0749108954272624,0.6203234035650731,1.0
1.0,1.0,Mean,1020.0,0.07648327359628544,0.20705144533508738,0.040256920201135186,0.055555555555555566,0.07877461331441586,6.0
1.0,1.0,Median,1020.0,0.07696898800813086,0.20700681525339132,0.040516466929563476,nan,0.07877461331441586,6.0
1.0,1.0,OGDVanilla,1020.0,0.07695065394173205,0.20694839674292878,0.04037029784147617,0.07776224302878434,0.07877461331441586,6.0
1.0,1.0,MWUMVanilla,1020.0,0.07649224579355995,0.20679334716075917,0.04032237672912833,0.07902852819787766,0.07877461331441586,6.0
1.0,1.0,OGDBoth,1020.0,0.07666213285380823,0.20648589803031023,0.040227344063527834,0.05682381423671346,0.07877461331441586,6.0
1.0,1.0,OGDConcOnly,1020.0,0.08167061147140875,0.21251289526875353,0.042693035765875895,0.0789544452081194,0.07877461331441586,6.0
1.0,1.0,MWUMBothKL,1020.0,0.0764521879905944,0.2067080469808511,0.04021552178573483,0.05574842402629603,0.07877461331441586,6.0
1.0,1.0,MWUMConcOnlyKL,1020.0,0.07687609126585547,0.20696367990120962,0.0404361399991193,0.05617937681417838,0.07877461331441586,6.0
1.0,4.0,Mean,1020.0,0.2078427779103781,0.34424692134307583,0.11467519070611994,0.055555555555555566,0.20196734100369307,3.0
1.0,4.0,Median,1020.0,0.20395538492043297,0.3362447519359269,0.11303672577742581,nan,0.20196734100369307,3.0
1.0,4.0,OGDVanilla,1020.0,0.1865679133664531,0.32196989462338577,0.10447787840194232,0.11140571213783733,0.20196734100369307,3.0
1.0,4.0,MWUMVanilla,1020.0,0.19785892958163923,0.33407760048928664,0.10986565905067909,0.180854410974379,0.20196734100369307,3.0
1.0,4.0,OGDBoth,1020.0,0.18724084614475928,0.32329063773918926,0.10422970204214785,0.06935244316035115,0.20196734100369307,3.0
1.0,4.0,OGDConcOnly,1020.0,0.17590792174184836,0.3141243703566217,0.09773528428290593,0.11049643407081913,0.20196734100369307,3.0
1.0,4.0,MWUMBothKL,1020.0,0.20122440623456267,0.33810079775213275,0.11123967532365218,0.05664438638844338,0.20196734100369307,3.0
1.0,4.0,MWUMConcOnlyKL,1020.0,0.18735780278019257,0.3275331813825439,0.10411422481860312,0.05890397532503784,0.20196734100369307,3.0
1.0,8.0,Mean,1020.0,0.26958050213154056,0.3911979262391156,0.15832992692678763,0.055555555555555566,0.24296707074616555,1.0
1.0,8.0,Median,1020.0,0.2564117459104483,0.38052152487568136,0.15038573689830873,nan,0.24296707074616555,1.0
1.0,8.0,OGDVanilla,1020.0,0.21367893786635525,0.3462102199328828,0.12560853124506935,0.12404512693241507,0.24296707074616555,1.0
1.0,8.0,MWUMVanilla,1020.0,0.24050484377672487,0.36999423735644177,0.13735684495015546,0.25177499475229576,0.24296707074616555,1.0
1.0,8.0,OGDBoth,1020.0,0.21582784002846817,0.3467573486988721,0.12758115844707993,0.07778224633600758,0.24296707074616555,1.0
1.0,8.0,OGDConcOnly,1020.0,0.2179252151392493,0.3417974402172901,0.12738507003682653,0.12708606984226628,0.24296707074616555,1.0
1.0,8.0,MWUMBothKL,1020.0,0.24773028049092383,0.37475693419851364,0.1457644594046648,0.0584285239846327,0.24296707074616555,1.0
1.0,8.0,MWUMConcOnlyKL,1020.0,0.22337199532587154,0.3549343563173656,0.13120090945767007,0.06146815620187123,0.24296707074616555,1.0
2.0,1.0,Mean,1020.0,0.1031821138914524,0.24328759156143434,0.05340742904855788,0.055555555555555566,0.10493027169427077,9.0
2.0,1.0,Median,1020.0,0.10297588055885962,0.2434553915254543,0.05320038713101316,nan,0.10493027169427077,9.0
2.0,1.0,OGDVanilla,1020.0,0.10310459901834745,0.24319253263557578,0.05322902476920522,0.07422930459294423,0.10493027169427077,9.0
2.0,1.0,MWUMVanilla,1020.0,0.10310776020719183,0.24323124822197698,0.0533588254554905,0.09019269571564308,0.10493027169427077,9.0
2.0,1.0,OGDBoth,1020.0,0.10239811289627176,0.24235768257101745,0.05290840495138981,0.05734392018844724,0.10493027169427077,9.0
2.0,1.0,OGDConcOnly,1020.0,0.10393531943879675,0.24687722499945475,0.05408913000990624,0.08657565764305389,0.10493027169427077,9.0
