avg_excess_objective_vs_best_individual,avg_hhi_mean,avg_improvement_pct_vs_best_individual,avg_lambda_mean,horizon,horizon_name,linex_mean,loss_section,mae_mean,method,mse_mean,n_series,objective_mean,objective_std
0.023428026177046868,0.37519979978457496,-2.86813070123088,0.702239420817187,0.0,CPI3,0.840267585371213,linex,1.6606953107285123,RLKappaBandit,4.469722581790561,1.0,0.840267585371213,0.0
1.0803036712014507,0.08636280591072497,-132.25408331927494,nan,0.0,CPI3,1.8971432303956168,linex,1.937422643954702,RLRuleBandit,6.921747183199776,1.0,1.8971432303956168,0.0
1.8339198666374834,0.08341929097343197,-37.69154255300128,0.13519748809430465,0.0,CPI3,1.7878418716948117,mse,1.8885628897960174,MWUMBothKL,6.699520323447265,1.0,6.699520323447265,0.0
-0.43632602551416166,0.2941885401139723,8.967567916586532,0.007492578926388884,0.0,CPI3,0.8002027517537686,mse,1.6490462060069278,MWUMConcOnlyKL,4.42927443129562,1.0,4.42927443129562,0.0
1.8326880924855597,0.08342078103394908,-37.66622657889165,nan,0.0,CPI3,1.7870455454563123,mse,1.8884045151982438,MWUMVanilla,6.6982885492953415,1.0,6.6982885492953415,0.0
1.9823110686545826,0.08333333333333336,-40.741345004606494,nan,0.0,CPI3,1.886193471638932,mse,1.9077556354593133,Mean,6.847911525464364,1.0,6.847911525464364,0.0
1.6712698600371425,nan,-34.34868676276269,nan,0.0,CPI3,1.7033677068286064,mse,1.8639607825181363,Median,6.536870316846924,1.0,6.536870316846924,0.0
1.3044805226539875,0.08596789955064355,-26.810268007687867,0.014339006630836475,0.0,CPI3,1.4630150769534152,mse,1.8325607941748159,OGDBoth,6.170080979463769,1.0,6.170080979463769,0.0
1.4478501838816022,0.08437168077264119,-29.75686550372677,3.9788166875700965,0.0,CPI3,1.5457860979236828,mse,1.8412318252685602,OGDConcOnly,6.313450640691384,1.0,6.313450640691384,0.0
1.3061248344250318,0.08592678729347011,-26.844062639730517,nan,0.0,CPI3,1.4640691593469293,mse,1.8325437372135325,OGDVanilla,6.1717252912348135,1.0,6.1717252912348135,0.0
0.42122582190127833,0.7255373887908769,-8.657221768214454,0.3086013067763197,0.0,CPI3,0.8606661427053824,mse,1.6835497895511127,RLKappaBandit,5.28682627871106,1.0,5.28682627871106,0.0
3.6409968069286656,0.09767145725088051,-74.83139726018422,nan,0.0,CPI3,5.176216468597037,mse,2.0089491865864684,RLRuleBandit,8.506597263738447,1.0,8.506597263738447,0.0
