avg_hhi,avg_lambda,best_individual_idx,best_individual_linex,best_individual_mse,best_individual_objective,diag_aux,diag_main,horizon,horizon_name,linex,loss_section,mae,method,mse,n_forecasters,n_obs,objective_value,origin_end,origin_start,series_id
0.08333333352011049,1.0949381519280954,11.0,9.346522939582106e-06,0.0074806992339227565,9.346522939582106e-06,0.5882352941176471,1.561764705882353,0.0,CPI1,9.7237854153511e-06,linex,0.05858512268064664,RLKappaBandit,0.0077822525975042465,12.0,34.0,9.7237854153511e-06,2022Q3,2014Q2,CPI1
0.08333333333333336,nan,6.0,0.002188750567930096,1.703537217073902,1.703537217073902,,,0.0,CPI2,0.0036286701577140645,mse,1.2326358638268844,Mean,2.7759665584637316,12.0,34.0,2.7759665584637316,2022Q3,2014Q2,CPI2
nan,nan,6.0,0.002188750567930096,1.703537217073902,1.703537217073902,,,0.0,CPI2,0.003398753169604846,mse,1.206119442258257,Median,2.6040121197622033,12.0,34.0,2.6040121197622033,2022Q3,2014Q2,CPI2
0.22794299124202105,nan,6.0,0.002188750567930096,1.703537217073902,1.703537217073902,,,0.0,CPI2,0.003154019704032357,mse,1.1571126595874963,OGDVanilla,2.421685099812265,12.0,34.0,2.421685099812265,2022Q3,2014Q2,CPI2
0.5307125365538353,nan,6.0,0.002188750567930096,1.703537217073902,1.703537217073902,,,0.0,CPI2,0.0027431398436719876,mse,0.9491169809879051,MWUMVanilla,2.088473399027923,12.0,34.0,2.088473399027923,2022Q3,2014Q2,CPI2
0.21427415515422185,0.5236907117418529,6.0,0.002188750567930096,1.703537217073902,1.703537217073902,,,0.0,CPI2,0.0031094412488131043,mse,1.1528331426298706,OGDBoth,2.3905454851084236,12.0,34.0,2.3905454851084236,2022Q3,2014Q2,CPI2
0.7188209804510374,0.5236907117418529,6.0,0.002188750567930096,1.703537217073902,1.703537217073902,,,0.0,CPI2,0.00504346368369911,mse,1.5157059264337105,OGDConcOnly,3.8805862673237033,12.0,34.0,3.8805862673237033,2022Q3,2014Q2,CPI2
0.255185702981806,0.5236907117418529,6.0,0.002188750567930096,1.703537217073902,1.703537217073902,,,0.0,CPI2,0.002658451283077068,mse,1.0159419442257271,MWUMBothKL,2.0431377672117557,12.0,34.0,2.0431377672117557,2022Q3,2014Q2,CPI2
0.26814903553664377,0.5236907117418529,6.0,0.002188750567930096,1.703537217073902,1.703537217073902,,,0.0,CPI2,0.0034445500685670186,mse,1.1842440530176974,MWUMConcOnlyKL,2.6491774725289012,12.0,34.0,2.6491774725289012,2022Q3,2014Q2,CPI2
0.1638461556334595,nan,6.0,0.002188750567930096,1.703537217073902,1.703537217073902,0.4117647058823529,6.0,0.0,CPI2,0.0034593318165629873,mse,1.1872429146625063,RLRuleBandit,2.6519757454508937,12.0,34.0,2.6519757454508937,2022Q3,2014Q2,CPI2
0.3668971907850953,1.5219170157041149,6.0,0.002188750567930096,1.703537217073902,1.703537217073902,0.6176470588235294,2.256470588235294,0.0,CPI2,0.0040645824909169926,mse,1.3221201687987154,RLKappaBandit,3.118210072995494,12.0,34.0,3.118210072995494,2022Q3,2014Q2,CPI2
0.08333333333333336,nan,6.0,0.002188750567930096,1.703537217073902,0.002188750567930096,,,0.0,CPI2,0.0036286701577140645,linex,1.2326358638268844,Mean,2.7759665584637316,12.0,34.0,0.0036286701577140645,2022Q3,2014Q2,CPI2
nan,nan,6.0,0.002188750567930096,1.703537217073902,0.002188750567930096,,,0.0,CPI2,0.003398753169604846,linex,1.206119442258257,Median,2.6040121197622033,12.0,34.0,0.003398753169604846,2022Q3,2014Q2,CPI2
0.08335983629869244,nan,6.0,0.002188750567930096,1.703537217073902,0.002188750567930096,,,0.0,CPI2,0.00361504067545771,linex,1.2280856661697843,OGDVanilla,2.765378320770576,12.0,34.0,0.00361504067545771,2022Q3,2014Q2,CPI2
0.08334952392083332,nan,6.0,0.002188750567930096,1.703537217073902,0.002188750567930096,,,0.0,CPI2,0.003618851437671443,linex,1.2308266498265705,MWUMVanilla,2.7686735574798504,12.0,34.0,0.003618851437671443,2022Q3,2014Q2,CPI2
0.08334435369021415,0.5236907117418529,6.0,0.002188750567930096,1.703537217073902,0.002188750567930096,,,0.0,CPI2,0.0036186227527482684,linex,1.2298202588024336,OGDBoth,2.768276866366654,12.0,34.0,0.0036186227527482684,2022Q3,2014Q2,CPI2
0.08369349579843552,0.5236907117418529,6.0,0.002188750567930096,1.703537217073902,0.002188750567930096,,,0.0,CPI2,0.0035638305921622407,linex,1.2200839171813371,OGDConcOnly,2.727172990278522,12.0,34.0,0.0035638305921622407,2022Q3,2014Q2,CPI2
0.08333612286158869,0.5236907117418529,6.0,0.002188750567930096,1.703537217073902,0.002188750567930096,,,0.0,CPI2,0.003625032379430453,linex,1.2319315053713893,MWUMBothKL,2.773287109783429,12.0,34.0,0.003625032379430453,2022Q3,2014Q2,CPI2
0.08335630333965532,0.5236907117418529,6.0,0.002188750567930096,1.703537217073902,0.002188750567930096,,,0.0,CPI2,0.003614611476227384,linex,1.2295647765355748,MWUMConcOnlyKL,2.7654141889311377,12.0,34.0,0.003614611476227384,2022Q3,2014Q2,CPI2
0.08335727088055737,nan,6.0,0.002188750567930096,1.703537217073902,0.002188750567930096,0.14705882352941177,0.0,0.0,CPI2,0.003616204450122379,linex,1.2313886118384054,RLRuleBandit,2.7671211793366446,12.0,34.0,0.003616204450122379,2022Q3,2014Q2,CPI2
