Date,SPFfor_Step1,SPFfor_Step2,SPFfor_Step3,SPFfor_Step4,SPFfor_Step5,IARfor_Step1,IARfor_Step2,IARfor_Step3,IARfor_Step4,IARfor_Step5,NCfor_Step1,NCfor_Step2,NCfor_Step3,NCfor_Step4,NCfor_Step5,DARfor_Step1,DARfor_Step2,DARfor_Step3,DARfor_Step4,DARfor_Step5,DARMfor_Step1,DARMfor_Step2,DARMfor_Step3,DARMfor_Step4,DARMfor_Step5,Realiz1,Realiz2,Realiz3,Realiz4,Realiz5
2010:04,1.8778,1.6,1.8,1.9042,1.8,2.279192606494917,2.3565941964737287,2.4914624394566403,2.53101037059123,-1.0216589308341733,1.473087590444755,-0.7179165986437972,1.5257799904821345,3.443375043934105,3.5987890095525055,2.279192606494917,2.8398946419922106,2.540922388462521,2.2952857208888444,2.3024395577568058,,,,,,2.6430729524696828,2.6430729524696828,2.9679146619962626,3.034408488161211,3.2784480894508805
2011:01,2.5,1.601,1.7514,1.91,2.05,2.4624684828215146,2.3985519191364024,2.4103395224665163,2.493399184066223,2.5305230445507525,2.6430729524696828,1.473087590444755,-0.7179165986437971,1.5257799904821345,3.443375043934105,2.4624684828215146,2.5461466525756467,2.626112247115123,2.6169677245417553,2.4056623895814,,,,,,5.218218490978477,5.218218490978477,4.544905589790527,4.40898591017842,4.337695616584547
2011:02,3.5,1.3,1.2859,1.6,2.0,2.893587364905792,2.4346105836254917,2.4162253552651776,2.4179307568241826,2.4936550399127992,5.218218490978477,2.6430729524696828,1.473087590444755,-0.717916598643797,1.5257799904821345,2.893587364905792,2.401110535874712,2.484990358367531,2.7910218315219746,2.537890208326308,,,,,,4.09178844803566,4.09178844803566,4.4330562554659725,4.65203864181809,4.626211999723795
2011:03,1.4704,2.2,1.8,1.75,1.9328,2.735044371942261,2.528223445372775,2.430313555156996,2.418842246546515,2.419002977301192,4.09178844803566,5.218218490978477,2.6430729524696828,1.473087590444755,-0.7179165986437969,2.735044371942261,2.0773269236775014,2.419303021019045,2.5396530743898054,2.36625133422355,,,,,,3.06759558179599,3.093905884457504,3.093905884457504,2.6443626583928292,2.633885731750518
2011:04,2.04,2.0,2.0,1.8,1.8,2.5786440966526154,2.5113623433920815,2.470798939523517,2.4296507466110553,2.419229727505421,3.06759558179599,4.09178844803566,5.218218490978477,2.6430729524696828,1.473087590444755,2.5786440966526154,2.2438455761355796,2.206612947972956,2.414293021917122,2.3983653249714325,,,,,,1.3030089580533533,1.3030089580533533,1.4104238270999048,1.5502598671482293,1.8077377047624132
2012:01,2.0,2.0008,2.0,2.25,2.0,2.2358745791030805,2.4966571020578776,2.4744846073636406,2.4617734892922893,2.429548509641533,1.3030089580533533,3.06759558179599,4.09178844803566,5.218218490978477,2.6430729524696828,2.2358745791030805,2.401521856704342,2.3097550274071086,2.105245282595378,2.4327046293945616,,,,,,2.4814500628660863,2.4814500628660863,2.3072111602567835,2.099175006618559,2.2717886978449897
2012:02,2.1,2.0,1.9,2.05,2.0717,2.447862432945673,2.3983104881827395,2.4829095882719106,2.468404693731785,2.4603549528909454,2.481450062866086,1.3030089580533533,3.06759558179599,4.09178844803566,5.218218490978477,2.447862432945673,2.6009108829952416,2.4183592840379124,2.225774088313171,2.5580949694969988,,,,,,0.7530265825283156,0.7530265825283156,1.0055099866141948,1.3844130509737207,0.8470842815823332
2012:03,1.5,2.26,2.1,2.0,2.0,2.144839032155529,2.442025460516623,2.4265947597467883,2.4806044161378478,2.467402317942167,0.7530265825283156,2.4814500628660854,1.3030089580533533,3.06759558179599,4.09178844803566,2.144839032155529,2.44014978185403,2.5502374317545082,2.3832284798133845,2.51227882279863,,,,,,2.3025114274546565,2.3025114274546565,1.7136430754864485,1.7136430754864485,1.8181472852568437
2012:04,2.2896,2.0046,2.1,2.1,1.9761,2.419411687374512,2.3865255428670453,2.44101109161896,2.4315197792356535,2.480217886715118,2.3025114274546565,0.7530265825283156,2.481450062866085,1.3030089580533533,3.06759558179599,2.419411687374512,2.650687253404668,2.439108133687638,2.6191466110404633,2.492370848486163,,,,,,2.053176660469247,2.1867014876586044,2.412889205126012,2.641196864768336,2.686457259357078
2013:01,1.8,2.1,2.1,2.2,2.1,2.3737471941562664,2.4395155913977833,2.4284941065737096,2.440834811145983,2.4323773518590377,2.053176660469247,2.3025114274546565,0.7530265825283156,2.4814500628660845,1.3030089580533533,2.3737471941562664,2.460123809620493,2.6084720815853566,2.4355872467062136,2.3932457166371797,,,,,,1.4356787504863355,1.4356787504863355,1.1892293312012914,1.380943808623769,1.6175390161127678
